X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Velocity [ m s^-1 ], Velocity w [ m s^-1 ]
0,0.007007473,0.047993299,298.3440857,0.011017244,-0.005300542
0,0.007023489,0.047993299,298.3457947,0.011119136,-0.005289417
0,0.007039505,0.047993299,298.3475342,0.011221443,-0.005278292
0,0.007055521,0.047993299,298.3492127,0.011324153,-0.005267167
0,0.007071537,0.047993299,298.3509827,0.011427406,-0.005257226
0,0.007087553,0.047993299,298.3528137,0.011531141,-0.005248227
0,0.007103569,0.047993299,298.3546448,0.011635221,-0.005239229
0,0.007119585,0.047993299,298.3565064,0.011740995,-0.005229436
0,0.007135601,0.047993299,298.358551,0.011851871,-0.005216871
0,0.007151617,0.047993299,298.3605957,0.011963142,-0.005204307
0,0.007167633,0.047993299,298.3626404,0.012074798,-0.005191743
0,0.007183649,0.047993299,298.3645325,0.012186195,-0.00517721
0,0.007199665,0.047993299,298.3664551,0.012297949,-0.005162594
0,0.007215681,0.047993299,298.3683167,0.012411945,-0.005147577
0,0.007231697,0.047993299,298.3702087,0.012526457,-0.005132532
0,0.007247713,0.047993299,298.3720703,0.01264134,-0.005117486
0,0.007263728,0.047993299,298.3739929,0.012756583,-0.005102441
0,0.007279744,0.047993299,298.375885,0.012872174,-0.005087395
0,0.00729576,0.047993299,298.3778381,0.012990498,-0.005072162
0,0.007311776,0.047993299,298.380127,0.013114204,-0.005056534
0,0.007327792,0.047993299,298.3823853,0.013238268,-0.005040905
0,0.007343808,0.047993299,298.384613,0.013362683,-0.005025278
0,0.007359824,0.047993299,298.3869019,0.01348744,-0.00500965
0,0.00737584,0.047993299,298.3891296,0.013612524,-0.004994022
0,0.007391856,0.047993299,298.3913879,0.013737931,-0.004978394
0,0.007407872,0.047993299,298.3936157,0.013862554,-0.004962247
0,0.007423888,0.047993299,298.395752,0.013984151,-0.004944534
0,0.007439904,0.047993299,298.3978577,0.01410669,-0.004927171
0,0.00745592,0.047993299,298.400116,0.014235641,-0.004911483
0,0.007471936,0.047993299,298.4025574,0.01437252,-0.004897883
0,0.007487952,0.047993299,298.4050293,0.014509684,-0.004884283
0,0.007503968,0.047993299,298.4074707,0.014647126,-0.004870683
0,0.007519984,0.047993299,298.4099426,0.014780117,-0.004855808
0,0.007536,0.047993299,298.4124146,0.014909501,-0.004840231
0,0.007552016,0.047993299,298.414917,0.015037587,-0.004824429
0,0.007568032,0.047993299,298.4174194,0.015165912,-0.004808626
0,0.007584048,0.047993299,298.4198914,0.015294473,-0.004792824
0,0.007600064,0.047993299,298.4223633,0.015423261,-0.004777021
0,0.007616079,0.047993299,298.4248657,0.015552272,-0.004761218
0,0.007632095,0.047993299,298.4275208,0.01567886,-0.004743313
0,0.007648111,0.047993299,298.4304504,0.015801566,-0.004722127
0,0.007664127,0.047993299,298.4335022,0.015930524,-0.004706388
0,0.007680143,0.047993299,298.4366455,0.01606239,-0.004693104
0,0.007696159,0.047993299,298.4397583,0.016199356,-0.004683229
