 Y [ m ],Tol_4_Velocity [ m s^-1 ], Velocity [ m s^-1 ]
0.01367749,0.47941461,0.47926059
0.01368330,0.47950613,0.47935259
0.01368911,0.47959778,0.47944465
0.01369491,0.47971109,0.47955802
0.01370072,0.47983560,0.47968253
0.01370652,0.47996023,0.47980714
0.01371233,0.48008499,0.47993183
0.01371813,0.48020571,0.48005345
0.01372394,0.48032579,0.48017463
0.01372975,0.48044598,0.48029590
0.01373555,0.48056626,0.48041725
0.01374136,0.48068652,0.48053858
0.01374716,0.48080692,0.48066008
0.01375297,0.48092741,0.48078161
0.01375878,0.48104793,0.48090330
0.01376458,0.48115811,0.48101333
0.01377039,0.48126367,0.48111826
0.01377619,0.48136932,0.48122334
0.01378200,0.48147503,0.48132849
0.01378781,0.48158526,0.48143816
0.01379361,0.48174465,0.48159736
0.01379942,0.48190412,0.48175669
0.01380522,0.48206374,0.48191616
0.01381103,0.48222348,0.48207572
0.01381683,0.48238325,0.48223540
0.01382264,0.48254323,0.48239520
0.01382845,0.48270330,0.48255509
0.01383425,0.48286349,0.48271513
0.01384006,0.48302373,0.48287523
0.01384586,0.48318419,0.48303550
0.01385167,0.48334470,0.48319587
0.01385748,0.48350531,0.48335633
0.01386328,0.48366606,0.48351687
0.01386909,0.48382691,0.48367757
0.01387489,0.48398784,0.48383841
0.01388070,0.48414567,0.48399618
0.01388650,0.48428610,0.48413688
0.01389231,0.48445168,0.48430374
0.01389812,0.48463252,0.48448637
0.01390392,0.48483333,0.48468915
0.01390973,0.48505190,0.48490989
0.01391553,0.48527059,0.48513085
0.01392134,0.48548946,0.48535189
0.01392715,0.48570845,0.48557305
0.01393295,0.48592761,0.48579437
0.01393876,0.48614687,0.48601583
0.01394456,0.48636624,0.48623738
0.01395037,0.48658577,0.48645914
0.01395618,0.48680547,0.48668104
0.01396198,0.48702535,0.48690301
0.01396779,0.48728684,0.48716405
0.01397359,0.48756528,0.48744085
0.01397940,0.48784393,0.48771790
0.01398520,0.48812279,0.48799512
0.01399101,0.48840186,0.48827261
0.01399682,0.48868114,0.48855025
0.01400262,0.48896065,0.48882815
0.01400843,0.48924044,0.48910633
0.01401423,0.48952043,0.48938462
0.01402004,0.48980060,0.48966321
0.01402585,0.49008101,0.48994198
0.01403165,0.49036163,0.49022099
0.01403746,0.49064252,0.49050024
0.01404326,0.49092361,0.49077970
0.01404907,0.49118578,0.49104169
0.01405487,0.49146166,0.49131659
0.01406068,0.49179697,0.49164763
0.01406649,0.49214235,0.49198854
0.01407229,0.49253148,0.49237275
0.01407810,0.49292091,0.49275729
