 Y [ m ], Velocity [ m s^-1 ], Velocity [ m s^-1 ]
0.01248149,2.43994498,2.43852043
0.01248729,2.43992376,2.43850112
0.0124931,2.43990278,2.43848157
0.0124989,2.43988228,2.43846297
0.01250471,2.43986201,2.43844414
0.01251051,2.43984199,2.43842602
0.01251632,2.4398222,2.43840766
0.01252213,2.43980241,2.43838978
0.01252793,2.43978333,2.43837214
0.01253374,2.43980908,2.43839812
0.01253954,2.4398365,2.43842649
0.01254535,2.43986464,2.4384551
0.01255116,2.43989325,2.43848395
0.01255696,2.43992186,2.4385128
0.01256277,2.4399507,2.43854237
0.01256857,2.43997979,2.43857169
0.01257438,2.44000936,2.43860173
0.01258019,2.44003916,2.43863201
0.01258599,2.44006324,2.43865705
0.0125918,2.44008589,2.43868017
0.0125976,2.44010878,2.43870378
0.01260341,2.44013214,2.43872762
0.01260921,2.44016886,2.43876505
0.01261502,2.4402492,2.43884468
0.01262083,2.44032931,2.43892455
0.01262663,2.4404099,2.43900514
0.01263244,2.44049048,2.43908548
0.01263824,2.44057202,2.43916655
0.01264405,2.44065189,2.43924642
0.01264986,2.44072771,2.43932128
0.01265566,2.440804,2.43939638
0.01266147,2.44088006,2.43947148
0.01266727,2.44095683,2.43954706
0.01267308,2.4410336,2.43962312
0.01267888,2.44111109,2.43969917
0.01268469,2.44118857,2.43977571
0.0126905,2.44126606,2.43985248
0.0126963,2.44134402,2.43992949
0.01270211,2.44142199,2.44000649
0.01270791,2.44150066,2.44008422
0.01271372,2.44158793,2.44017005
0.01271953,2.44173598,2.44031692
0.01272533,2.44188404,2.44046402
0.01273114,2.44203234,2.44061136
0.01273694,2.44218159,2.44075918
0.01274275,2.4423306,2.44090724
0.01274856,2.44247961,2.44105506
0.01275436,2.44262934,2.44120383
0.01276017,2.44277906,2.44135261
0.01276597,2.44292307,2.44149542
0.01277178,2.44306564,2.44163632
0.01277758,2.44320822,2.44177747
0.01278339,2.44335127,2.44191885
0.0127892,2.44349456,2.44206095
0.012795,2.44363809,2.44220304
0.01280081,2.44378185,2.44234562
0.01280661,2.44392586,2.44248819
0.01281242,2.44407034,2.44263101
0.01281823,2.44426131,2.4428184
0.01282403,2.44445777,2.44301128
0.01282984,2.44465423,2.4432044
0.01283564,2.4448514,2.44339776
0.01284145,2.44504833,2.44359112
0.01284725,2.44524574,2.44378519
0.01285306,2.44544363,2.4439795
0.01285887,2.44564652,2.44417906
0.01286467,2.44585681,2.44438624
0.01287048,2.44606733,2.44459343
0.01287628,2.44627786,2.44480085
0.01288209,2.44648933,2.44500875
0.0128879,2.44670057,2.44521713
0.0128937,2.44691205,2.44542551
0.01289951,2.44712424,2.44563437
0.01290531,2.44733644,2.4458437
0.01291112,2.44759703,2.44610071
0.01291693,2.44786501,2.44636583
0.01292273,2.44813371,2.44663095
0.01292854,2.44840264,2.44689679
0.01293434,2.44867206,2.44716215
0.01294015,2.44894147,2.44742846
0.01294595,2.44921136,2.44769502
0.01295176,2.44948101,2.44796181
0.01295757,2.44975233,2.44822979
0.01296337,2.4500258,2.4484992
0.01296918,2.4502995,2.44876957
0.01297498,2.45057344,2.4490397
0.01298079,2.45084763,2.4493103
0.0129866,2.45112181,2.44958115
0.0129924,2.4513967,2.44985223
0.01299821,2.45169139,2.45014477
0.01300401,2.45201802,2.45047021
0.01300982,2.45234489,2.45079589
0.01301563,2.45267224,2.45112228
0.01302143,2.45299983,2.45144844
0.01302724,2.45332742,2.45177531
0.01303304,2.45365572,2.45210242
