 Y [ m ], Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.01276597,1.26773059,1.26669502
0.01277178,1.26782203,1.26678717
0.01277758,1.26791334,1.26687908
0.01278339,1.26800513,1.26697159
0.0127892,1.26809692,1.26706398
0.012795,1.26818872,1.26715672
0.01280081,1.26828086,1.26724958
0.01280661,1.26837313,1.26734245
0.01281242,1.26846564,1.26743567
0.01281823,1.26858461,1.26755595
0.01282403,1.26870680,1.26767945
0.01282984,1.26882887,1.26780319
0.01283564,1.26895130,1.26792693
0.01284145,1.26907372,1.26805079
0.01284725,1.26919663,1.26817489
0.01285306,1.26931942,1.26829922
0.01285887,1.26944745,1.26842833
0.01286467,1.26958263,1.26856434
0.01287048,1.26971793,1.26870036
0.01287628,1.26985347,1.2688365
0.01288209,1.26998901,1.26897287
0.0128879,1.27012491,1.26910937
0.0128937,1.27026069,1.26924586
0.01289951,1.27039671,1.26938283
0.01290531,1.27053297,1.26951993
0.01291112,1.27069378,1.2696842
0.01291693,1.27085853,1.26985288
0.01292273,1.27102351,1.2700218
0.01292854,1.27118862,1.27019095
0.01293434,1.27135396,1.27036035
0.01294015,1.27151930,1.27052963
0.01294595,1.27168489,1.27069926
0.01295176,1.27185071,1.27086914
0.01295757,1.27201831,1.27104187
0.01296337,1.27218831,1.27121854
0.01296918,1.27235854,1.27139556
0.01297498,1.27252901,1.27157259
0.01298079,1.27269948,1.27174985
0.0129866,1.27287018,1.27192712
0.0129924,1.27304113,1.27210486
0.01299821,1.27322412,1.27229548
0.01300401,1.27342665,1.27250707
0.01300982,1.27362931,1.27271879
0.01301563,1.27383208,1.27293062
0.01302143,1.27403522,1.27314281
0.01302724,1.27423823,1.27335489
0.01303304,1.27444160,1.27356744
0.01303885,1.27464509,1.27377975
0.01304465,1.27484643,1.27399004
0.01305046,1.27504432,1.27419674
0.01305627,1.27524269,1.27440369
0.01306207,1.27544105,1.27461064
0.01306788,1.27563965,1.27481782
0.01307368,1.27583838,1.27502525
0.01307949,1.27607119,1.27526653
0.0130853,1.27630568,1.27550948
0.0130911,1.27654028,1.27575254
0.01309691,1.27677512,1.27599597
0.01310271,1.27700984,1.27623987
0.01310852,1.27724493,1.27648437
0.01311432,1.27748024,1.27672899
0.01312013,1.27771556,1.27697384
0.01312594,1.27795112,1.2772187
0.01313174,1.27818692,1.27746391
0.01313755,1.27842546,1.27771139
0.01314335,1.27870786,1.27799714
0.01314916,1.27899051,1.27828312
0.01315497,1.27927327,1.27856922
0.01316077,1.27955639,1.27885544
0.01316658,1.27983952,1.2791419
0.01317238,1.28012300,1.2794286
0.01317819,1.28040659,1.27971554
0.013184,1.28069031,1.28000247
0.0131898,1.28097415,1.28028953
0.01319561,1.28124869,1.28056788
0.01320141,1.28151536,1.28083873
0.01320722,1.28178215,1.28110933
0.01321302,1.28208482,1.28141332
0.01321883,1.28241003,1.28173804
0.01322464,1.28273535,1.28206289
0.01323044,1.28305995,1.28238761
0.01323625,1.28338122,1.28271151
0.01324205,1.28370249,1.28303528
0.01324786,1.28402412,1.28335941
0.01325367,1.28434587,1.28368378
0.01325947,1.28466773,1.28400803
0.01326528,1.28498971,1.28433275
0.01327108,1.28535163,1.28468871
0.01327689,1.28574812,1.28507209
0.01328269,1.28614485,1.2854557
0.0132885,1.28654182,1.28583932
0.01329431,1.28693891,1.28622329
0.01330011,1.28732145,1.28659463
0.01330592,1.28768969,1.28695369
0.01331172,1.28805828,1.28731287
0.01331753,1.28842711,1.28767228
0.01332334,1.28879619,1.28803194
0.01332914,1.28916538,1.28839183
0.01333495,1.28953469,1.28875184
0.01334075,1.28994131,1.28914189
0.01334656,1.29039288,1.28956795
0.01335237,1.29084468,1.28999424
0.01335817,1.29129660,1.29042077
0.01336398,1.29174864,1.29084766
0.01336978,1.29220116,1.29127455
0.01337559,1.29265368,1.29170191
0.01338139,1.29310668,1.29212928
0.0133872,1.29357517,1.29256928
0.01339301,1.29404938,1.29301333
0.01339881,1.29452348,1.29345775
0.01340462,1.29499805,1.2939024
0.01341042,1.29547274,1.29434717
0.01341623,1.29596150,1.29480326
0.01342204,1.29648948,1.29529023
0.01342784,1.29701746,1.29577744
0.01343365,1.29754579,1.29626501
0.01343945,1.29807448,1.29675269
0.01344526,1.29860342,1.29724061
0.01345106,1.29913247,1.2977289
0.01345687,1.29966176,1.2982173
0.01346268,1.30019140,1.29870605
0.01346848,1.30072117,1.29919493
0.01347429,1.30125129,1.29968417
0.01348009,1.30184698,1.3002311
0.0134859,1.30245245,1.30078614
0.01349171,1.30305827,1.30134177
0.01349751,1.30367637,1.30190539
0.01350332,1.30430317,1.3024745
0.01350912,1.30493009,1.30304348
0.01351493,1.30555737,1.30361295
0.01352074,1.30618489,1.30418265
0.01352654,1.30681252,1.30475271
0.01353235,1.30744064,1.305323
0.01353815,1.30806875,1.30589342
0.01354396,1.30869722,1.30646408
0.01354976,1.30932605,1.30703509
0.01355557,1.30995512,1.30760634
0.01356138,1.31062329,1.3082118
0.01356718,1.31133652,1.3088553
0.01357299,1.31203949,1.30948842
0.01357879,1.31274247,1.31012225
0.0135846,1.31344593,1.31075609
0.01359041,1.31414950,1.3113904
0.01359621,1.31485355,1.31202471
0.01360202,1.31555760,1.31265938
0.01360782,1.31626213,1.31329429
0.01361363,1.31696689,1.31392968
0.01361944,1.31767213,1.31456518
0.01362524,1.31840074,1.31522846
0.01363105,1.31918597,1.31595802
0.01363685,1.31997132,1.31668758
0.01364266,1.32075727,1.31741774
0.01364846,1.32154346,1.31814826
0.01365427,1.32232988,1.31887889
0.01366008,1.32311666,1.31960988
0.01366588,1.32390344,1.32034111
0.01367169,1.32469082,1.32107282
