 Y [ m ],Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.01420583,1.91584384,1.91616571
0.01421163,1.91634977,1.91668332
0.01421744,1.91685617,1.91720116
0.01422324,1.91736281,1.91771901
0.01422905,1.91786945,1.91823733
0.01423486,1.91837633,1.91875589
0.01424066,1.91888344,1.91927445
0.01424647,1.91939104,1.91979337
0.01425227,1.91989851,1.9203124
0.01425808,1.92075884,1.92118883
0.01426389,1.92162037,1.92206669
0.01426969,1.92248249,1.92294502
0.0142755,1.92334473,1.92382383
0.0142813,1.92420745,1.92470276
0.01428711,1.92507064,1.92558193
0.01429292,1.92593396,1.92646182
0.01429872,1.92679775,1.92734194
0.01430453,1.92766166,1.9282223
