Time [s],Monitor Point: CenterVel (Velocity) [m s^-1],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: r0Vel (Velocity) [m s^-1],Monitor Point: r1Vel (Velocity) [m s^-1],Monitor Point: r2Vel (Velocity) [m s^-1],Monitor Point: r3Vel (Velocity) [m s^-1],Monitor Point: r4Vel (Velocity) [m s^-1]
10.0635004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0660000000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0684996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0710001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0734997000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0760002000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0784998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0810003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0834999000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0860004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0885000000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0909996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0935001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0959997000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0985003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1009998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1035004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1059999000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1084995000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1110001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1134996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1160002000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1184998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1210003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1234999000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1260004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1285000000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1309996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1335001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1359997000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1385002000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1409998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1435003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1459999000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1485004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1510000000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1534996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1560001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1584997000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
