Time [s],Monitor Point: Mouthpiece1mm0mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm1mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm2mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm3mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm4mmTempX0YZ (Temperature) [K]
0.5084999800,293.3834840000,293.3743900000,293.3251340000,293.2589110000,293.1850590000
0.5109999780,293.3862920000,293.3771060000,293.3273320000,293.2603450000,293.1855470000
0.5134999750,293.3891300000,293.3798520000,293.3295590000,293.2617800000,293.1860350000
0.5159999730,293.3919680000,293.3826290000,293.3317870000,293.2632140000,293.1865540000
0.5184999700,293.3948360000,293.3853760000,293.3340150000,293.2646790000,293.1870420000
0.5210000280,293.3977050000,293.3881840000,293.3362730000,293.2661440000,293.1875610000
0.5235000250,293.4006350000,293.3909910000,293.3385310000,293.2676090000,293.1880800000
0.5260000230,293.4035340000,293.3937990000,293.3408200000,293.2690730000,293.1885680000
0.5285000210,293.4064640000,293.3966670000,293.3431090000,293.2705690000,293.1890870000
0.5310000180,293.4094240000,293.3995060000,293.3454280000,293.2720640000,293.1896360000
0.5335000160,293.4123840000,293.4024050000,293.3477480000,293.2735900000,293.1901550000
0.5360000130,293.4153750000,293.4052730000,293.3500980000,293.2750850000,293.1906740000
0.5385000110,293.4183650000,293.4081730000,293.3524480000,293.2766110000,293.1912230000
0.5410000090,293.4213560000,293.4111020000,293.3547970000,293.2781680000,293.1917420000
0.5435000060,293.4244080000,293.4140630000,293.3571780000,293.2797240000,293.1922910000
0.5460000040,293.4274600000,293.4169920000,293.3595890000,293.2812500000,293.1928410000
0.5485000010,293.4305110000,293.4199830000,293.3619690000,293.2828370000,293.1933900000
0.5509999990,293.4336240000,293.4229740000,293.3644100000,293.2843930000,293.1939390000
0.5534999970,293.4367070000,293.4259640000,293.3668520000,293.2859800000,293.1944890000
0.5559999940,293.4398190000,293.4289860000,293.3692930000,293.2875670000,293.1950380000
0.5584999920,293.4429630000,293.4320370000,293.3717650000,293.2891850000,293.1956180000
0.5609999900,293.4461060000,293.4350890000,293.3742070000,293.2908020000,293.1961670000
0.5634999870,293.4492800000,293.4381710000,293.3767090000,293.2924190000,293.1967470000
0.5659999850,293.4524540000,293.4412540000,293.3792110000,293.2940370000,293.1973270000
0.5684999820,293.4556580000,293.4443360000,293.3817440000,293.2956850000,293.1979060000
0.5709999800,293.4588930000,293.4474790000,293.3842770000,293.2973330000,293.1984860000
0.5734999780,293.4621280000,293.4506230000,293.3868100000,293.2990110000,293.1990660000
0.5759999750,293.4653630000,293.4537660000,293.3893740000,293.3006590000,293.1996460000
0.5784999730,293.4686280000,293.4569400000,293.3919370000,293.3023380000,293.2002260000
0.5809999700,293.4719240000,293.4601140000,293.3945310000,293.3040470000,293.2008360000
0.5835000280,293.4752200000,293.4633180000,293.3971250000,293.3057250000,293.2014160000
0.5860000250,293.4785460000,293.4665530000,293.3997500000,293.3074340000,293.2020260000
0.5885000230,293.4819030000,293.4697880000,293.4023740000,293.3091740000,293.2026370000
0.5910000210,293.4852290000,293.4730530000,293.4050290000,293.3108830000,293.2032470000
0.5935000180,293.4886170000,293.4762880000,293.4076840000,293.3126220000,293.2038570000
0.5960000160,293.4920040000,293.4795840000,293.4103390000,293.3143620000,293.2044680000
0.5985000130,293.4953920000,293.4828800000,293.4130250000,293.3161320000,293.2051090000
0.6010000110,293.4988100000,293.4862060000,293.4157410000,293.3178710000,293.2057190000
