Z [ m ],Temperature [ K ]
0.0364501253,329.3289490000
0.0363880321,329.3343200000
0.0363259390,329.3396610000
0.0362638459,329.3450320000
0.0362017527,329.3504030000
0.0361396596,329.3557130000
0.0360775664,329.3610840000
0.0360154733,329.3664250000
0.0359533802,329.3717650000
0.0358912870,329.3797610000
0.0358291939,329.3881230000
0.0357671008,329.3908390000
0.0357050076,329.3909910000
0.0356429145,329.3911130000
0.0355808213,329.3912350000
0.0355187282,329.3916320000
0.0354566351,329.3934330000
0.0353945419,329.3952640000
0.0353324488,329.3970640000
0.0352703556,329.3988340000
0.0352082625,329.4006650000
0.0351461694,329.4024660000
0.0350840762,329.4046630000
0.0350219831,329.4065860000
0.0349598899,329.4067990000
0.0348977968,329.4039920000
0.0348357037,329.4002380000
0.0347736105,329.3964840000
0.0347115174,329.3929440000
0.0346494243,329.3905330000
0.0345873311,329.3880920000
0.0345252380,329.3843380000
0.0344631448,329.3812870000
0.0344010517,329.3804930000
0.0343389586,329.3799130000
0.0342768654,329.3779910000
0.0342147723,329.3705140000
0.0341526791,329.3630980000
0.0340905860,329.3565060000
0.0340284929,329.3526000000
0.0339663997,329.3496090000
0.0339043066,329.3500060000
0.0338422135,329.3504030000
0.0337801203,329.3508300000
0.0337180272,329.3465270000
0.0336559340,329.3410640000
0.0335938409,329.3356930000
0.0335317478,329.3303220000
0.0334696546,329.3250430000
0.0334075615,329.3208620000
0.0333454683,329.3161010000
0.0332833752,329.3093870000
0.0332212821,329.3029790000
0.0331591889,329.3005370000
0.0330970958,329.2981570000
0.0330350026,329.2958070000
0.0329729095,329.2934270000
0.0329108164,329.2888490000
0.0328487232,329.2752380000
0.0327866301,329.2658080000
0.0327245370,329.2592160000
0.0326624438,329.2528380000
0.0326003507,329.2464600000
0.0325382575,329.2401430000
0.0324761644,329.2338260000
0.0324140713,329.2272030000
0.0323519781,329.2202150000
0.0322898850,329.2149350000
0.0322277918,329.2104490000
0.0321656987,329.2016600000
0.0321036056,329.1872560000
0.0320415124,329.1721800000
0.0319794193,329.1561890000
0.0319173262,329.1400760000
0.0318552330,329.1307980000
0.0317931399,329.1250610000
0.0317310467,329.1188350000
0.0316689536,329.1125790000
0.0316068605,329.1036680000
0.0315447673,329.0902400000
0.0314826742,329.0779720000
0.0314205810,329.0596310000
0.0313584879,329.0359800000
0.0312963948,329.0137330000
0.0312343035,329.0023190000
0.0311722122,328.9949040000
0.0311101209,328.9866940000
0.0310480297,328.9783940000
0.0309859384,328.9700930000
0.0309238471,328.9483950000
0.0308617558,328.9269100000
0.0307996646,328.9127200000
0.0307375733,328.9018550000
0.0306754820,328.8909910000
0.0306133907,328.8812870000
0.0305512995,328.8740230000
0.0304892082,328.8551940000
0.0304271169,328.8363040000
0.0303650256,328.8203740000
0.0303029343,328.7989810000
0.0302408431,328.7804570000
0.0301787518,328.7660520000
0.0301166605,328.7604980000
0.0300545692,328.7462160000
0.0299924780,328.7272340000
0.0299303867,328.7080080000
0.0298682954,328.6873170000
0.0298062041,328.6567990000
0.0297441129,328.6263430000
0.0296820216,328.5983890000
0.0296199303,328.5719600000
0.0295578390,328.5455320000
0.0294957478,328.5080260000
0.0294336565,328.4695430000
0.0293715652,328.4403080000
0.0293094739,328.4226990000
0.0292473827,328.4029850000
0.0291852914,328.3891600000
0.0291232001,328.3887630000
0.0290611088,328.4044490000
0.0289990176,328.4025570000
0.0289369263,328.3645020000
0.0288748350,328.3363950000
0.0288127437,328.3084720000
0.0287506524,328.2809750000
0.0286885612,328.2549740000
0.0286264699,328.2587890000
0.0285643786,328.2362670000
0.0285022873,328.2125850000
0.0284401961,328.1889340000
0.0283781048,328.1690980000
0.0283160135,328.1496280000
0.0282539222,328.1274110000
0.0281918310,328.1015630000
0.0281297397,328.0661930000
0.0280676484,328.0296330000
0.0280055571,327.9930110000
0.0279434659,327.9563290000
0.0278813746,327.9299620000
0.0278192833,327.9050900000
0.0277571920,327.8757630000
0.0276951008,327.8382570000
0.0276330095,327.8019410000
0.0275709182,327.7561950000
0.0275088269,327.7114560000
0.0274467357,327.6849980000
0.0273846444,327.6585690000
0.0273225531,327.6393430000
0.0272604618,327.6378170000
0.0271983705,327.6215520000
0.0271362793,327.5679320000
0.0270741880,327.5153810000
0.0270120967,327.4749760000
0.0269500054,327.4400330000
0.0268879142,327.4050600000
0.0268258229,327.3701170000
0.0267637316,327.3336490000
0.0267016403,327.2963560000
0.0266395491,327.2590940000
0.0265774578,327.2259520000
0.0265153665,327.1998290000
0.0264532752,327.1737060000
0.0263911840,327.1475520000
0.0263290927,327.1214600000
0.0262670014,327.0856320000
0.0262049101,327.0469360000
0.0261428189,327.0082400000
0.0260807276,326.9186400000
0.0260186363,326.8287960000
0.0259565450,326.7387700000
0.0258944537,326.6540830000
0.0258323625,326.6189580000
0.0257702712,326.5907590000
0.0257081799,326.5637820000
0.0256460886,326.5472410000
0.0255839974,326.5307010000
0.0255219061,326.4857180000
0.0254598148,326.4910280000
0.0253977235,326.5041200000
0.0253356323,326.5156860000
0.0252735410,326.4973450000
0.0252114497,326.3531490000
0.0251493584,326.2089540000
0.0250872672,326.0874940000
0.0250251759,326.0251460000
0.0249630846,325.9689030000
0.0249009933,325.9087220000
0.0248389021,325.8485720000
0.0247768108,325.7884220000
0.0247147195,325.7461550000
0.0246526282,325.7116090000
0.0245905370,325.6618040000
0.0245284457,325.6120000000
0.0244663544,325.5622250000
0.0244042631,325.5123900000
0.0243421718,325.4725040000
0.0242800806,325.4015500000
0.0242179893,325.3742680000
0.0241558980,325.3536680000
0.0240938067,325.3330990000
0.0240317155,325.3125610000
0.0239696242,325.2998660000
0.0239075329,325.2832640000
0.0238454416,325.2475890000
0.0237833504,325.1784360000
0.0237212591,325.1093140000
0.0236591678,325.0401310000
0.0235970765,325.0070190000
0.0235349853,324.9875490000
0.0234728940,324.9269710000
0.0234108027,324.8196720000
0.0233487114,324.6774900000
0.0232866202,324.6182560000
0.0232245289,324.5645750000
0.0231624376,324.5108950000
0.0231003463,324.4576420000
0.0230382551,324.3751830000
0.0229761638,324.2927550000
0.0229140725,324.2103270000
0.0228519812,324.1306150000
0.0227898899,324.0846250000
0.0227277987,324.0304260000
0.0226657074,323.9408260000
0.0226036161,323.9645390000
0.0225415248,323.9883120000
0.0224794336,324.0120240000
0.0224173423,323.9234310000
0.0223552510,323.8321840000
0.0222931597,323.7408750000
0.0222310685,323.6517940000
0.0221689772,323.5950320000
0.0221068859,323.5435790000
0.0220447946,323.4921260000
0.0219827034,323.4743960000
0.0219206121,323.3731380000
0.0218585208,323.2732540000
0.0217964295,323.1756290000
0.0217343383,323.0937810000
0.0216722470,323.0209660000
0.0216101557,322.9483030000
0.0215480644,322.8789060000
0.0214859731,322.8074950000
0.0214238819,322.7219540000
0.0213617906,322.6406250000
0.0212996993,322.5575560000
0.0212376080,322.4681400000
0.0211755168,322.4434200000
0.0211134255,322.4168400000
0.0210513342,322.3690490000
0.0209892429,322.2433170000
0.0209271517,322.1179500000
0.0208650604,321.9962770000
