Z [ m ],Velocity [ m s^-1 ]
0.0202441476,0.9889371400
0.0201820564,0.9888887410
0.0201199651,0.9888402220
0.0200578738,0.9897658230
0.0199957825,0.9912094470
0.0199336912,0.9925459620
0.0198716000,0.9933851960
0.0198095087,0.9945260880
0.0197474174,0.9949139950
0.0196853261,0.9951714870
0.0196232349,0.9955193400
0.0195611436,0.9958232050
0.0194990523,0.9960197210
0.0194369610,0.9962885380
0.0193748698,0.9963207240
0.0193127785,0.9960642460
0.0192506872,0.9958078270
0.0191885959,0.9955514670
0.0191265047,0.9953635330
0.0190644134,0.9956886770
0.0190023221,0.9959015250
0.0189402308,0.9952532650
0.0188781396,0.9946049450
0.0188160483,0.9939566250
0.0187539570,0.9939521550
0.0186918657,0.9940853710
0.0186297745,0.9942597150
0.0185676832,0.9950230720
0.0185055919,0.9953865410
0.0184435006,0.9953669910
0.0183814093,0.9953473210
0.0183193181,0.9955893160
0.0182572268,0.9959979060
0.0181951355,0.9962979560
0.0181330442,0.9958426950
0.0180709530,0.9960416560
0.0180088617,0.9962834720
0.0179467704,0.9970467090
0.0178846791,0.9975338580
0.0178225879,0.9976729150
0.0177604966,0.9974923130
0.0176984053,0.9972578880
0.0176363140,0.9973209500
0.0175742228,0.9976925850
0.0175121315,0.9984018210
0.0174500402,0.9991111160
0.0173879489,0.9998202920
0.0173258577,1.0004293900
0.0172637664,1.0008828600
0.0172016751,1.0004124600
0.0171395838,0.9997465010
0.0170774926,0.9990806580
0.0170154013,0.9991846080
0.0169533100,0.9994641540
0.0168912187,0.9996389750
0.0168291274,0.9998088480
0.0167670362,0.9999393220
0.0167049449,1.0005694600
0.0166428536,1.0016022900
0.0165807623,1.0023691700
0.0165186711,1.0030623700
0.0164565798,1.0033659900
0.0163944885,1.0034912800
0.0163323972,1.0032709800
0.0162703060,1.0030505700
0.0162082147,1.0033514500
0.0161461234,1.0037903800
0.0160840321,1.0037877600
0.0160219409,1.0041282200
0.0159598496,1.0044686800
0.0158977583,1.0048091400
0.0158356670,1.0050796300
0.0157735758,1.0052888400
0.0157114845,1.0055148600
0.0156493932,1.0057983400
0.0155873010,1.0060820600
0.0155252088,1.0063889000
0.0154631166,1.0068510800
0.0154010244,1.0072029800
0.0153389322,1.0075930400
0.0152768400,1.0078547000
0.0152147477,1.0077303600
0.0151526555,1.0076060300
0.0150905633,1.0072739100
0.0150284711,1.0076246300
0.0149663789,1.0079417200
0.0149042867,1.0085823500
0.0148421945,1.0093449400
0.0147801023,1.0101075200
0.0147180101,1.0105878100
0.0146559179,1.0107857000
0.0145938257,1.0104018400
0.0145317335,1.0098415600
0.0144696413,1.0100053500
0.0144075491,1.0106462200
0.0143454568,1.0111144800
0.0142833646,1.0115423200
0.0142212724,1.0116329200
0.0141591802,1.0119153300
0.0140970880,1.0122765300
0.0140349958,1.0122176400
0.0139729036,1.0119692100
0.0139108114,1.0119606300
0.0138487192,1.0124468800
0.0137866270,1.0126135300
0.0137245348,1.0128862900
0.0136624426,1.0131759600
0.0136003504,1.0134658800
0.0135382582,1.0138436600
0.0134761659,1.0142353800
0.0134140737,1.0146098100
0.0133519815,1.0147448800
0.0132898893,1.0147922000
0.0132277971,1.0148330900
0.0131657049,1.0152478200
0.0131036127,1.0161103000
0.0130415205,1.0169732600
0.0129794283,1.0174120700
0.0129173361,1.0174099200
0.0128552439,1.0178201200
0.0127931517,1.0177682600
0.0127310595,1.0175591700
0.0126689672,1.0173500800
0.0126068750,1.0171809200
0.0125447828,1.0176291500
0.0124826906,1.0180772500
0.0124205984,1.0187358900
0.0123585062,1.0195802500
0.0122964140,1.0204244900
0.0122343218,1.0209335100
0.0121722296,1.0213521700
0.0121101374,1.0219750400
0.0120480452,1.0225133900
0.0119859530,1.0224528300
0.0119238608,1.0223250400
0.0118617686,1.0221972500
0.0117996763,1.0228850800
0.0117375841,1.0236357500
0.0116754919,1.0243865300
0.0116133997,1.0251370700
0.0115513075,1.0258878500
0.0114892153,1.0265207300
0.0114271231,1.0272280000
0.0113650309,1.0279352700
0.0113029387,1.0286414600
0.0112408465,1.0289292300
0.0111787543,1.0292991400
0.0111166621,1.0304839600
0.0110545699,1.0315157200
0.0109924776,1.0325347200
0.0109303854,1.0335536000
0.0108682932,1.0345726000
0.0108062010,1.0355917200
0.0107441088,1.0364768500
0.0106820166,1.0374935900
0.0106199244,1.0385104400
0.0105578322,1.0393209500
0.0104957400,1.0393756600
0.0104336478,1.0391969700
0.0103715556,1.0396616500
0.0103094634,1.0413172200
0.0102473712,1.0424332600
0.0101852790,1.0433888400
0.0101231867,1.0441013600
0.0100610945,1.0448138700
0.0099990023,1.0455662000
0.0099369101,1.0465741200
0.0098748179,1.0473007000
0.0098127257,1.0480272800
0.0097506335,1.0487538600
0.0096885413,1.0494389500
0.0096264491,1.0497846600
0.0095643569,1.0501301300
