 Y [ m ],Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.01323625,0.94467819,0.94453847
0.01324205,0.94472784,0.9445895
0.01324786,0.94477767,0.94464046
0.01325367,0.94482744,0.94469154
0.01325947,0.94487727,0.94474256
0.01326528,0.94492710,0.94479364
0.01327108,0.94497699,0.94484472
0.01327689,0.94502681,0.94489592
0.01328269,0.94507676,0.944947
0.0132885,0.94512355,0.94499421
0.01329431,0.94515944,0.94502813
0.01330011,0.94519550,0.94506198
0.01330592,0.94523144,0.9450959
0.01331172,0.94526750,0.94512981
0.01331753,0.94530356,0.94516379
0.01332334,0.94533950,0.94519782
0.01332914,0.94537562,0.94523174
0.01333495,0.94541705,0.94527149
0.01334075,0.94547808,0.94533217
0.01334656,0.94553912,0.94539285
0.01335237,0.94560033,0.94545358
0.01335817,0.94566143,0.94551438
0.01336398,0.94572258,0.94557518
0.01336978,0.94578385,0.94563597
0.01337559,0.94584501,0.94569683
0.01338139,0.94590628,0.94575775
0.0133872,0.94596761,0.94581872
0.01339301,0.94603539,0.94588578
0.01339881,0.94611019,0.94595921
0.01340462,0.94618499,0.94603264
0.01341042,0.94625974,0.94610608
0.01341623,0.94633454,0.94617957
0.01342204,0.94640946,0.94625318
0.01342784,0.94648445,0.94632685
0.01343365,0.94654697,0.9463883
0.01343945,0.94660336,0.94644397
0.01344526,0.94665980,0.94649953
0.01345106,0.94671631,0.94655526
0.01345687,0.94677275,0.94661087
0.01346268,0.94682938,0.94666666
0.01346848,0.94688600,0.94672239
0.01347429,0.94694263,0.94677818
0.01348009,0.94699925,0.94683403
0.0134859,0.94705594,0.94688988
0.01349171,0.94711274,0.94694579
0.01349751,0.94716936,0.94700176
0.01350332,0.94722819,0.94705987
0.01350912,0.94732374,0.94715679
0.01351493,0.94741935,0.94725364
0.01352074,0.94751501,0.94735074
0.01352654,0.94761068,0.94744766
0.01353235,0.94770122,0.94753975
0.01353815,0.94777882,0.94761956
0.01354396,0.94785655,0.94769925
0.01354976,0.94793415,0.94777906
0.01355557,0.94801199,0.94785881
0.01356138,0.94808972,0.94793862
0.01356718,0.94816750,0.94801855
0.01357299,0.94824541,0.94809854
0.01357879,0.94832331,0.94817847
0.0135846,0.94840121,0.94825852
0.01359041,0.94847918,0.94833857
0.01359621,0.94855726,0.94841856
0.01360202,0.94863534,0.94849885
0.01360782,0.94872725,0.94859248
