 Y [ m ], Velocity [ m s^-1 ]
0.0177725516,0.0477713421
0.0177875664,0.0478776023
0.0178025812,0.0480045155
0.0178175960,0.0481519252
0.0178326108,0.0483196341
0.0178476255,0.0485074371
0.0178626403,0.0487150997
0.0178776551,0.0489423759
0.0178926699,0.0491889864
0.0179076847,0.0494546443
0.0179226995,0.0497390404
0.0179377142,0.0500418618
0.0179527290,0.0502031744
0.0179677438,0.0501765236
0.0179827586,0.0501498692
0.0179977734,0.0501232259
0.0180127881,0.0498873740
0.0180278029,0.0496555381
0.0180428177,0.0494244620
0.0180578325,0.0491941497
0.0180728473,0.0489646196
0.0180878621,0.0487358794
0.0181028768,0.0485079288
0.0181178916,0.0482808016
0.0181329064,0.0480544940
0.0181479212,0.0478290208
0.0181629360,0.0476043969
0.0181779508,0.0473806299
0.0181929655,0.0471577309
0.0182079803,0.0469357222
0.0182229951,0.0467146002
0.0182380099,0.0464943983
0.0182530247,0.0462757684
0.0182680395,0.0459757708
0.0182830542,0.0456893146
0.0182980690,0.0454047918
0.0183130838,0.0451222509
0.0183280986,0.0448417105
0.0183431134,0.0445632190
0.0183581281,0.0442868173
0.0183731429,0.0440125391
0.0183881577,0.0437404253
0.0184031725,0.0434705131
0.0184181873,0.0432028547
0.0184332021,0.0429374799
0.0184482168,0.0426744483
0.0184632316,0.0424137786
0.0184782464,0.0421555340
0.0184932612,0.0418997593
0.0185082760,0.0416464843
0.0185232908,0.0413957722
0.0185383055,0.0411476605
0.0185533203,0.0409021974
0.0185683351,0.0406594314
0.0185833499,0.0404194109
0.0185983647,0.0401821882
0.0186133794,0.0399478115
0.0186283942,0.0397163332
0.0186434090,0.0394877940
0.0186584238,0.0392622575
0.0186734386,0.0390397683
0.0186884534,0.0388203897
0.0187034681,0.0386041589
0.0187184829,0.0383911356
0.0187334977,0.0381813794
0.0187485125,0.0379749350
0.0187635273,0.0377718620
0.0187785421,0.0375722237
0.0187935568,0.0373760536
0.0188085716,0.0371834226
0.0188235864,0.0369943902
0.0188386012,0.0368089937
0.0188536160,0.0366273001
0.0188686308,0.0364493653
0.0188836455,0.0362752415
0.0188986603,0.0361049846
0.0189136751,0.0359386504
0.0189286899,0.0357762948
0.0189437047,0.0356179699
0.0189587194,0.0354637317
0.0189737342,0.0353136286
0.0189887490,0.0351677202
0.0190037638,0.0350260548
0.0190187786,0.0348886848
0.0190337934,0.0347556621
0.0190488081,0.0346270353
0.0190638229,0.0345028527
0.0190788377,0.0343831666
0.0190938525,0.0342680216
0.0191088673,0.0341574699
0.0191238821,0.0340515375
0.0191388968,0.0339502878
0.0191539116,0.0338692851
0.0191689264,0.0338014811
0.0191839412,0.0337344222
0.0191989560,0.0336681195
0.0192139708,0.0336025655
0.0192289855,0.0335377753
0.0192440003,0.0334737450
0.0192590151,0.0334104858
0.0192740299,0.0333480015
0.0192890447,0.0332862921
0.0193040594,0.0332253650
0.0193190742,0.0331652239
0.0193340890,0.0331058726
0.0193491038,0.0330473147
0.0193641186,0.0329895541
0.0193791334,0.0329326019
0.0193941481,0.0328764506
0.0194091629,0.0328211114
0.0194241777,0.0327779762
0.0194391925,0.0325226597
0.0194542073,0.0322995670
0.0194692221,0.0320766941
0.0194842368,0.0318540446
0.0194992516,0.0316316225
0.0195142664,0.0314094350
0.0195292812,0.0311874859
0.0195442960,0.0309657808
0.0195593107,0.0307443216
0.0195743255,0.0305231214
0.0195893403,0.0303021781
0.0196043551,0.0300814975
0.0196193699,0.0298610888
0.0196343847,0.0296409614
0.0196493994,0.0294211116
0.0196644142,0.0292015579
0.0196794290,0.0289822966
0.0196944438,0.0287633389
0.0197094586,0.0285446960
0.0197244734,0.0283263661
0.0197394881,0.0281083621
0.0197545029,0.0278906915
0.0197695177,0.0276733618
0.0197845325,0.0274563767
0.0197995473,0.0272397529
0.0198145621,0.0270234905
0.0198295768,0.0268076044
0.0198445916,0.0265920982
0.0198596064,0.0263769869
0.0198746212,0.0261622779
0.0198896360,0.0259479806
0.0199046507,0.0257341079
0.0199196655,0.0255206674
